ENTIDAD,MUNICIPIO,NOMBRE,CLASIFICACIÓN,CP
15,29,HUITZNAHUAC - HUISINAHUAC - SAN ANDRES CHIAUTLA,PUEBLO,56030
15,31,EL AROJO,EJIDO,56270
15,31,SAN MIGUEL,BARRIO,56270
15,31,SANTA MARIA,BARRIO,56270
15,31,EMILIANO ZAPATA,COLONIA,56270
15,31,LAS JOYAS - SANTA MARIA,EJIDO,56270
15,31,SANTA MARIA,BARRIO,56270
15,71,VILLAS DEL SOL LA PAZ,FRACCIONAMIENTO,56400
15,11,ZAPOTLAN,PUEBLO,56300
15,119,TEJALPA,PUEBLO,51375
15,119,RAICES,PUEBLO,51390
15,11,SAN FERMIN,EJIDO,56300
15,119,EL CONTADERO DE MATAMOROS,PUEBLO,51384
15,11,EL CRISTO,EJIDO,56300
15,31,SAN CRISTOBAL,EJIDO,56270
15,31,XOCHIMILCO,EJIDO,56270
15,119,EL COPORO,PUEBLO,51364
15,31,SAN PEDRO,BARRIO,56270
15,119,BARRIO DE MEXICO,PUEBLO,51367
15,31,EL MAMUT,COLONIA,56270
15,107,LA TOSCANA,FRACCIONAMIENTO,50019
15,1,LAS ARENAS,PUEBLO,50302
15,1,MADO SECTOR II,PUEBLO,50354
15,34,HACIENDA STA MARIA 1 - VILLAS DE ECATEPEC,FRACCIONAMIENTO,55050
15,34,RDCIAL HACIENDA DE ECATEPEC - RDCIAL PRIVADAS ECATEPEC,FRACCIONAMIENTO,55055
15,107,GRAN MORADA,FRACCIONAMIENTO,50010
15,108,OJO DE AGUA,PUEBLO,51950
15,107,JARDINES DE MESSINA,FRACCIONAMIENTO,50120
15,20,SAN DIEGO,UNIDAD HABITACIONAL,55709
15,82,SAN AGUSTIN TECALCO,BARRIO,55760
15,82,SAN MIGUEL TECALCO,BARRIO,55760
15,82,NUEVA SANTA MARIA,BARRIO,55760
15,82,SAN ANTONIO TECALCO,BARRIO,55760
15,82,XONACATLAN,COLONIA,55760
15,82,MILPISCO,COLONIA,55760
15,82,LLANO M DE LOS BAEZ,COLONIA,55760
15,82,ASOCIACION 20 DE SEPTIEMBRE,COLONIA,55760
15,34,LOS SAUCES,UNIDAD HABITACIONAL,55055
15,34,ARCOS 2000,FRACCIONAMIENTO,55066
15,92,SAN ANTONIO,FRACCIONAMIENTO,54770
